appid	name	playtime_forever	img_icon_url	img_logo_url	playtime_windows_forever	playtime_mac_forever	playtime_linux_forever	achievements	total_achievements	earned_achievements	is_multiplayer	genre	price	reviews
394360	Hearts of Iron IV	9638	134bcd93ec4d31ec4a6640d6bdd73f22f0a7619f	8e261ddeb8da5e057d0f765d8dd4833fb568fd61	341	0	0	0.0	92	0	True	Strategy	439.99	Very Positive
398100	Highschool Romance	0	9220d177c0e867e801ee4d64219c4f434c1de026	103caf7e6db295db67fe230054d5fedcaaedf3f0	0	0	0	0.0	4	0	False	Visual Novel	159.99	Very Positive
57300	Amnesia: The Dark Descent	0	2c08de657a8b273eeb55bb5bf674605ca023e381	75b8a82acfb05abda97977ac4eb5af20e0dcf01e	0	0	0	0.0	18	0	False	Adventure	224.99	Very Positive
407980	Sakura Beach 2	0	45ae73240006e5f26f793c16265f63cb573d71f1	0e131b2f35628ae16f59215572ff0c9ea45fde24	0	0	0		0	0	False	Visual Novel	129.99	Mostly Positive
410670	Suits: A Business RPG	16	c3b77b374e173dbe520f11187e51b6e22b14e0df	21d9d281e711b4ef79438f45da7c31190467b45b	0	0	0	0.028571428571428567	35	1	False	RPG	13.99	Very Positive
280790	Creativerse	0	e4937c3f653f127bdfddc17a8a544f887775e6be	02677218e2e1cb5e4cb48b6e4a26e65af70e2242	0	0	0		0	0	True	Building	0.0	Mostly Positive
415480	Hyperdevotion Noire: Goddess Black Heart	4253	92ba4551684a1e24d890736e82159b1bd8ac38d5	9c57ee4b11d5bf67f16849abf5a7cba37845e37e	0	0	0	0.5098039215686274	51	26	False	JRPG	179.99	Very Positive
417890	Apotheon Arena	19	4f960147af2ae1d7d9d1162ab71f73a79e48bc37	9e467d9e431cf32848b3e563e45ac0f26fb35fff	0	0	0		0	0	True		0.0	Very Positive
426000	HunieCam Studio	0	a40fc165593d7bc2a97d1c86598876a25c0702ae	58d552b98eb0722d89f4447e4f11dc78b8c44656	0	0	0	0.0	16	0	False	Simulation	94.99	Very Positive
359550	Tom Clancy's Rainbow Six Siege	53	43a47cd1ff04838e19d829559544c88715ed74cd	92b0899e9d0d11cb48d49fabf491bee1d48ed829	0	0	0		0	0	True	FPS	0.0	Very Positive
623990	Tom Clancy's Rainbow Six Siege - Test Server	0	20deaf466474f76f2ffdb345fe56f40fe3af74c0	ecad14acd27551c5bcd669e25aec9967bbe09332	0	0	0		0	0				
438100	VRChat	31	52c5f93bd9f8de008307f5fad95023600267462c	62385c4bb53297d192a76829fce5d05b1f28ab90	0	0	0		0	0	True	Simulation	0.0	Very Positive
374320	DARK SOULS™ III	0	7abe1a33129c20cf10d2c74128bbd657a2a2c806	54f76fd3abdd1446260f28ccc0cbc76034b32de9	0	0	0	0.0	43	0	True	RPG	649.99	Very Positive
444090	Paladins	339	1565119c17f532338a0645b98e69e1fc1df0c29e	eeaf474bd305faa8c299d2df8e32278e10fc8c04	0	0	0	0.1896551724137931	58	11	True	FPS	0.0	Very Positive
596350	Paladins - Public Test	0	0a073dec4ffe8398b74369289d0c987134e35986	fa03dc049462669246e8ea8b0fffe6445fddd712	0	0	0		0	0				
460120	Megadimension Neptunia VII	0	3b6915aaf3acfdcbeeefa5586cb4f5a1c1ff8745	6d6917c99e988dfcc2657aaf4c54eabd0a6febfb	0	0	0	0.0	35	0	False	JRPG	224.99	Very Positive
470480	Angel Express [Tokkyu Tenshi]	25	1710a2c5c5a20e3b81b8e04c0cf59104436ea4af	4067e7a3707e4386bc670b1d255e2843a7ff54ce	0	0	0	0.0	15	0	True	Adventure	129.99	Positive
